today_close,predicted_next_close,actual_next_close,signal,actual_return_pct,equity_curve
10.9,10.320349,11.03,SELL,1.1926605504587064,0.988073394495413
11.03,10.39216,10.8,SELL,-2.085222121486842,1.0086769194939573
10.8,10.460654,10.8,SELL,0.0,1.0086769194939573
10.8,10.508139,10.84,SELL,0.37037037037036247,1.004941079051387
10.84,10.526804,10.64,SELL,-1.8450184501844953,1.0234824273733683
10.64,10.51665,10.87,SELL,2.161654135338333,1.0013582771575906
10.87,10.495855,10.13,SELL,-6.807727690892349,1.0695280218766905
10.13,10.45662,9.46,BUY,-6.61401776900296,0.9987892484653004
9.46,10.367716,8.94,BUY,-5.4968287526427195,0.9438875138773556
8.94,10.182777,9.3,BUY,4.026845637583906,0.9818964070536251
9.3,9.958768,9.01,BUY,-3.118279569892483,0.9512781319949637
9.01,9.721266,8.85,BUY,-1.7758046614872383,0.9343852905832885
8.85,9.505205,8.91,BUY,0.6779661016949209,0.9407201061126668
8.91,9.31161,8.46,BUY,-5.050505050505043,0.8932089896423302
8.46,9.130953,9.02,BUY,6.619385342789583,0.9523339345831936
9.02,8.985549,8.94,SELL,-0.8869179600886926,0.9607803552890312
8.94,8.88504,9.22,SELL,3.1319910514541514,0.9306888005372493
9.22,8.816943,8.7,SELL,-5.639913232104136,0.9831788413484609
8.7,8.8474455,8.94,BUY,2.7586206896551753,1.0103010162822117
8.94,8.895778,8.94,SELL,0.0,1.0103010162822117
8.94,8.949787,8.9,BUY,-0.4474272930648674,1.0057806537932532
8.9,9.020159,9.1,BUY,2.2471910112359472,1.0283824662380452
9.1,9.079075,9.22,SELL,1.3186813186813295,1.0148213787711697
9.22,9.1311245,9.1,SELL,-1.3015184381778848,1.0280294661304477
9.1,9.163803,8.9,BUY,-2.19780219780219,1.0054354119297786
8.9,9.176454,8.98,BUY,0.8988764044943828,1.0144730336100463
8.98,9.156298,9.59,BUY,6.792873051224937,1.0833848989220871
9.59,9.131725,9.63,SELL,0.417101147028164,1.0788660880819532
9.63,9.168075,9.75,SELL,1.246105919003107,1.0654222739002468
9.75,9.237244,9.83,SELL,0.8205128205128212,1.0566803475502962
9.83,9.34375,9.75,SELL,-0.8138351983723303,1.0652799841529434
9.75,9.474898,9.75,SELL,0.0,1.0652799841529434
9.75,9.588931,9.75,SELL,0.0,1.0652799841529434
9.75,9.702548,9.55,SELL,-2.051282051282044,1.087131881263773
9.55,9.796998,9.67,BUY,1.2565445026177928,1.1007921771539981
9.67,9.861628,9.75,BUY,0.8273009307135478,1.1098990410808152
9.75,9.904339,9.75,BUY,0.0,1.1098990410808152
9.75,9.870775,9.63,BUY,-1.2307692307692228,1.0962387451905897
9.63,9.86399,9.55,BUY,-0.8307372793354109,1.0871318812637727
9.55,9.840572,9.47,BUY,-0.8376963350785347,1.0780250173369559
9.47,9.816923,9.35,BUY,-1.2671594508975819,1.0643647214467304
9.35,9.783468,9.1,BUY,-2.6737967914438503,1.0359057716754274
9.1,9.720911,9.06,BUY,-0.43956043956043017,1.031352339712019
9.06,9.621995,9.02,BUY,-0.4415011037527695,1.0267989077486104
9.02,9.518416,9.06,BUY,0.44345898004435613,1.031352339712019
9.06,9.378837,8.86,BUY,-2.2075055187638086,1.0085851798949765
8.86,9.208379,9.06,BUY,2.2573363431151363,1.031352339712019
9.06,9.045752,9.1,SELL,0.4415011037527499,1.0267989077486106
9.1,8.937557,9.14,SELL,0.4395604395604497,1.022285505956309
9.14,8.86084,9.02,SELL,-1.3129102844639058,1.0357071975005931
9.02,8.823294,9.1,SELL,0.8869179600886926,1.026521324352029
9.1,8.815356,9.14,SELL,0.4395604395604497,1.0220091427065254
9.14,8.825632,9.63,SELL,5.361050328227574,0.9672187182069414
9.63,8.860451,9.59,SELL,-0.41536863966771465,0.971236241439369
9.59,8.95013,9.55,SELL,-0.4171011470281454,0.9752872789427658
9.55,9.064956,9.63,SELL,0.8376963350785347,0.9671173331505751
9.63,9.207797,9.91,SELL,2.9075804776739287,0.9389976183756883
9.91,9.344441,9.79,SELL,-1.2108980827447122,0.9503679225336179
9.79,9.492837,9.51,SELL,-2.860061287027573,0.9775490275703302
9.51,9.639437,9.47,BUY,-0.42060988433227287,0.9734373597361755
9.47,9.740449,9.51,BUY,0.4223864836325147,0.9775490275703302
9.51,9.818658,9.63,BUY,1.261829652996856,0.9898840310727951
9.63,9.857046,9.67,BUY,0.4153686396676962,0.9939956989069498
9.67,9.811545,9.51,BUY,-1.6546018614270956,0.9775490275703301
9.51,9.783713,9.55,BUY,0.4206098843322915,0.9816606954044852
9.55,9.748,9.22,BUY,-3.4554973821989536,0.9477394357727071
9.22,9.695192,9.06,BUY,-1.7353579175705003,0.9312927644360874
9.06,9.581979,9.06,BUY,0.0,0.9312927644360874
9.06,9.488348,9.18,BUY,1.3245033112582694,0.9436277679385521
9.18,9.383122,9.14,BUY,-0.43572984749454413,0.9395161001043972
9.14,9.310523,9.26,BUY,1.3129102844638865,0.951851103606862
9.26,9.23667,9.22,SELL,-0.43196544276456966,0.9559627714410167
9.22,9.153458,9.18,SELL,-0.43383947939263473,0.9601101153518239
9.18,9.09192,9.02,SELL,-1.7429193899782152,0.976844060717433
9.02,9.04642,8.9,BUY,-1.330376940133029,0.9638483525925893
8.9,9.016209,8.78,BUY,-1.348314606741584,0.9508526444677453
8.78,8.952518,8.82,BUY,0.4555808656036552,0.9551845471760266
8.82,8.916299,8.7,BUY,-1.360544217687086,0.9421888390511826
8.7,8.860805,8.78,BUY,0.9195402298850583,0.9508526444677451
8.78,8.781689,8.62,BUY,-1.8223234624145803,0.9335250336346199
8.62,8.713049,8.62,BUY,0.0,0.9335250336346199
8.62,8.607242,8.5,SELL,-1.392111368909504,0.9465207417594638
8.5,8.525856,8.66,BUY,1.8823529411764721,0.9643376027808184
8.66,8.45083,8.62,SELL,-0.4618937644341908,0.9687918180361572
8.62,8.398935,8.54,SELL,-0.928074245939676,0.9777829253961215
8.54,8.373027,8.42,SELL,-1.4051522248243469,0.9915222639262778
8.42,8.335093,8.34,SELL,-0.9501187648456066,1.0009429030134633
8.34,8.3099375,8.14,SELL,-2.398081534772174,1.0249463299442416
8.14,8.280036,7.96,BUY,-2.2113022113022183,1.0022816690855236
